;chaincodename;key;value;function;total;size
7;micro-aff;|DEMOASSET|201|;"{""uuid"":""201"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|201|{""uuid"":""201"",""type"":""DemoAsset""}";48
7;micro-aff;|DEMOASSET|201|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|201|pocket1|100000.0;31
7;micro-aff;|DEMOASSET|201|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";6372656174654465004173736574;"|DEMOASSET|201|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
8;micro-aff;|DEMOASSET|199|;"{""uuid"":""199"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|199|{""uuid"":""199"",""type"":""DemoAsset""}";48
8;micro-aff;|DEMOASSET|199|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|199|pocket1|100000.0;31
8;micro-aff;|DEMOASSET|199|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";6372656174654465004173736574;"|DEMOASSET|199|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
9;micro-aff;|DEMOASSET|203|;"{""uuid"":""203"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|203|{""uuid"":""203"",""type"":""DemoAsset""}";48
9;micro-aff;|DEMOASSET|203|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|203|pocket1|100000.0;31
9;micro-aff;|DEMOASSET|203|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";6372656174654465004173736574;"|DEMOASSET|203|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
10;micro-aff;|DEMOASSET|202|;"{""uuid"":""202"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|202|{""uuid"":""202"",""type"":""DemoAsset""}";48
10;micro-aff;|DEMOASSET|202|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|202|pocket1|100000.0;31
10;micro-aff;|DEMOASSET|202|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";6372656174654465004173736574;"|DEMOASSET|202|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
11;micro-aff;|DEMOASSET|200|;"{""uuid"":""200"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|200|{""uuid"":""200"",""type"":""DemoAsset""}";48
11;micro-aff;|DEMOASSET|200|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|200|pocket1|100000.0;31
11;micro-aff;|DEMOASSET|200|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";6372656174654465004173736574;"|DEMOASSET|200|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
12;micro-aff;|DEMOASSET|205|;"{""uuid"":""205"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|205|{""uuid"":""205"",""type"":""DemoAsset""}";48
12;micro-aff;|DEMOASSET|205|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|205|pocket1|100000.0;31
12;micro-aff;|DEMOASSET|205|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";6372656174654465004173736574;"|DEMOASSET|205|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
13;micro-aff;|DEMOASSET|206|;"{""uuid"":""206"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|206|{""uuid"":""206"",""type"":""DemoAsset""}";48
13;micro-aff;|DEMOASSET|206|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|206|pocket1|100000.0;31
13;micro-aff;|DEMOASSET|206|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";6372656174654465004173736574;"|DEMOASSET|206|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
14;micro-aff;|DEMOASSET|207|;"{""uuid"":""207"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|207|{""uuid"":""207"",""type"":""DemoAsset""}";48
14;micro-aff;|DEMOASSET|207|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|207|pocket1|100000.0;31
14;micro-aff;|DEMOASSET|207|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";6372656174654465004173736574;"|DEMOASSET|207|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
15;micro-aff;|DEMOASSET|204|;"{""uuid"":""204"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|204|{""uuid"":""204"",""type"":""DemoAsset""}";48
15;micro-aff;|DEMOASSET|204|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|204|pocket1|100000.0;31
15;micro-aff;|DEMOASSET|204|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";6372656174654465004173736574;"|DEMOASSET|204|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
16;micro-aff;|DEMOASSET|208|;"{""uuid"":""208"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|208|{""uuid"":""208"",""type"":""DemoAsset""}";48
16;micro-aff;|DEMOASSET|208|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|208|pocket1|100000.0;31
16;micro-aff;|DEMOASSET|208|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";6372656174654465004173736574;"|DEMOASSET|208|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
17;micro-aff;|DEMOASSET|209|;"{""uuid"":""209"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|209|{""uuid"":""209"",""type"":""DemoAsset""}";48
17;micro-aff;|DEMOASSET|209|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|209|pocket1|100000.0;31
17;micro-aff;|DEMOASSET|209|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";6372656174654465004173736574;"|DEMOASSET|209|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
18;micro-aff;|DEMOASSET|210|;"{""uuid"":""210"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|210|{""uuid"":""210"",""type"":""DemoAsset""}";48
18;micro-aff;|DEMOASSET|210|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|210|pocket1|100000.0;31
18;micro-aff;|DEMOASSET|210|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";6372656174654465004173736574;"|DEMOASSET|210|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
19;micro-aff;|DEMOASSET|211|;"{""uuid"":""211"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|211|{""uuid"":""211"",""type"":""DemoAsset""}";48
19;micro-aff;|DEMOASSET|211|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|211|pocket1|100000.0;31
19;micro-aff;|DEMOASSET|211|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";6372656174654465004173736574;"|DEMOASSET|211|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
20;micro-aff;|DEMOASSET|213|;"{""uuid"":""213"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|213|{""uuid"":""213"",""type"":""DemoAsset""}";48
20;micro-aff;|DEMOASSET|213|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|213|pocket1|100000.0;31
20;micro-aff;|DEMOASSET|213|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";6372656174654465004173736574;"|DEMOASSET|213|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
21;micro-aff;|DEMOASSET|212|;"{""uuid"":""212"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|212|{""uuid"":""212"",""type"":""DemoAsset""}";48
21;micro-aff;|DEMOASSET|212|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|212|pocket1|100000.0;31
21;micro-aff;|DEMOASSET|212|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";6372656174654465004173736574;"|DEMOASSET|212|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
22;micro-aff;|DEMOASSET|214|;"{""uuid"":""214"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|214|{""uuid"":""214"",""type"":""DemoAsset""}";48
22;micro-aff;|DEMOASSET|214|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|214|pocket1|100000.0;31
22;micro-aff;|DEMOASSET|214|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";6372656174654465004173736574;"|DEMOASSET|214|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
23;micro-aff;|DEMOASSET|215|;"{""uuid"":""215"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|215|{""uuid"":""215"",""type"":""DemoAsset""}";48
23;micro-aff;|DEMOASSET|215|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|215|pocket1|100000.0;31
23;micro-aff;|DEMOASSET|215|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";6372656174654465004173736574;"|DEMOASSET|215|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
24;micro-aff;|DEMOASSET|216|;"{""uuid"":""216"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|216|{""uuid"":""216"",""type"":""DemoAsset""}";48
24;micro-aff;|DEMOASSET|216|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|216|pocket1|100000.0;31
24;micro-aff;|DEMOASSET|216|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";6372656174654465004173736574;"|DEMOASSET|216|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
25;micro-aff;|DEMOASSET|217|;"{""uuid"":""217"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|217|{""uuid"":""217"",""type"":""DemoAsset""}";48
25;micro-aff;|DEMOASSET|217|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|217|pocket1|100000.0;31
25;micro-aff;|DEMOASSET|217|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";6372656174654465004173736574;"|DEMOASSET|217|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
