;key;value;function;total;size
7;1;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""1""}";6372656174654465004173736574;"1{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""1""}";70
8;4;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""4""}";6372656174654465004173736574;"4{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""4""}";70
9;0;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""0""}";6372656174654465004173736574;"0{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""0""}";70
10;2;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""2""}";6372656174654465004173736574;"2{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""2""}";70
11;3;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""3""}";6372656174654465004173736574;"3{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""3""}";70
12;8;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""8""}";6372656174654465004173736574;"8{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""8""}";70
13;5;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""5""}";6372656174654465004173736574;"5{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""5""}";70
14;7;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""7""}";6372656174654465004173736574;"7{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""7""}";70
15;9;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""9""}";6372656174654465004173736574;"9{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""9""}";70
16;6;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""6""}";6372656174654465004173736574;"6{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""6""}";70
17;10;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""10""}";6372656174654465004173736574;"10{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""10""}";72
18;11;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""11""}";6372656174654465004173736574;"11{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""11""}";72
19;12;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""12""}";6372656174654465004173736574;"12{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""12""}";72
20;13;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""13""}";6372656174654465004173736574;"13{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""13""}";72
21;14;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""14""}";6372656174654465004173736574;"14{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""14""}";72
22;15;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""15""}";6372656174654465004173736574;"15{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""15""}";72
23;16;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""16""}";6372656174654465004173736574;"16{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""16""}";72
24;17;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""17""}";6372656174654465004173736574;"17{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""17""}";72
25;18;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""18""}";6372656174654465004173736574;"18{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""18""}";72
26;19;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""19""}";6372656174654465004173736574;"19{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""19""}";72
27;20;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""20""}";6372656174654465004173736574;"20{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""20""}";72
28;21;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""21""}";6372656174654465004173736574;"21{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""21""}";72
29;22;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""22""}";6372656174654465004173736574;"22{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""22""}";72
30;23;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""23""}";6372656174654465004173736574;"23{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""23""}";72
31;24;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""24""}";6372656174654465004173736574;"24{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""24""}";72
32;25;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""25""}";6372656174654465004173736574;"25{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""25""}";72
33;26;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""26""}";6372656174654465004173736574;"26{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""26""}";72
