;chaincodename;key;value;function;total;size
7;micro;|DEMOASSET|1|;"{""uuid"":""1"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|1|{""uuid"":""1"",""type"":""DemoAsset""}";44
7;micro;|DEMOASSET|1|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|1|pocket1|100000.0;29
7;micro;|DEMOASSET|1|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|1|pocket2|100000.0;29
7;micro;|DEMOASSET|1|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|1|pocket3|100000.0;29
8;micro;|DEMOASSET|0|;"{""uuid"":""0"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|0|{""uuid"":""0"",""type"":""DemoAsset""}";44
8;micro;|DEMOASSET|0|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|0|pocket1|100000.0;29
8;micro;|DEMOASSET|0|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|0|pocket2|100000.0;29
8;micro;|DEMOASSET|0|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|0|pocket3|100000.0;29
9;micro;|DEMOASSET|2|;"{""uuid"":""2"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|2|{""uuid"":""2"",""type"":""DemoAsset""}";44
9;micro;|DEMOASSET|2|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|2|pocket1|100000.0;29
9;micro;|DEMOASSET|2|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|2|pocket2|100000.0;29
9;micro;|DEMOASSET|2|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|2|pocket3|100000.0;29
10;micro;|DEMOASSET|4|;"{""uuid"":""4"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|4|{""uuid"":""4"",""type"":""DemoAsset""}";44
10;micro;|DEMOASSET|4|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|4|pocket1|100000.0;29
